price,sold,Free_Shipping,Paid_Shipping
21.89,63,1,0.0
114.1,2,1,0.0
213.23,1,1,0.0
182.76,1,1,0.0
73.42,0,1,0.0
265.11,3,1,0.0
191.52,0,1,0.0
458.0,3,1,0.0
71.62,2,1,0.0
491.53,9,1,0.0
470.64,0,1,0.0
159.41,10,1,0.0
139.4,0,1,0.0
186.69,0,1,0.0
1.04,112,1,0.0
14.7,3,1,0.0
386.28,1,1,0.0
1.01,15,1,0.0
5.0,900,1,0.0
83.78,0,1,0.0
568.68,0,1,0.0
26.11,3000,1,0.0
174.52,0,1,0.0
174.52,1,1,0.0
237.79,0,1,0.0
109.07,0,1,0.0
58.94,0,1,0.0
88.25,0,1,0.0
138.71,0,1,0.0
128.9,0,1,0.0
31.82,0,1,0.0
109.9,0,1,0.0
53.33,0,1,0.0
107.93,25,1,0.0
39.24,23,1,0.0
157.66,0,1,0.0
209.06,1,1,0.0
32.53,150,0,168.91
25.95,1,1,0.0
150.6,0,1,0.0
175.65,0,1,0.0
79.72,0,1,0.0
167.22,0,1,0.0
82.47,0,1,0.0
217.85,3,1,0.0
161.69,1,1,0.0
498.51,0,1,0.0
46.02,42,1,0.0
256.26,2,1,0.0
31.75,8,1,0.0
184.67,1,1,0.0
140.88,0,1,0.0
60.39,0,1,0.0
72.38,0,1,0.0
223.85,30,1,0.0
128.9,0,1,0.0
243.12,0,1,0.0
192.04,14,1,0.0
202.87,1,1,0.0
59.34,0,1,0.0
98.28,0,1,0.0
92.66,30,1,0.0
54.64,22,1,0.0
209.8,9,1,0.0
271.25,0,1,0.0
226.44,1,1,0.0
159.64,1,1,0.0
130.75,21,1,0.0
233.06,1,1,0.0
281.1,1,1,0.0
284.24,0,1,0.0
153.09,0,1,0.0
187.78,1,1,0.0
491.64,0,1,0.0
70.37,1,1,0.0
348.52,0,1,0.0
225.46,8,1,0.0
36.27,1,1,0.0
135.63,1,1,0.0
94.87,0,1,0.0
159.42,0,1,0.0
148.73,1,1,0.0
174.87,0,1,0.0
177.84,0,1,0.0
163.43,3,1,0.0
78.78,0,1,0.0
27.73,16,1,0.0
222.45,0,1,0.0
38.72,2,1,0.0
154.57,0,1,0.0
136.28,0,1,0.0
59.6,1,1,0.0
10.5,182,1,0.0
167.57,0,1,0.0
239.48,0,1,0.0
436.39,1,1,0.0
85.47,15,1,0.0
146.78,0,1,0.0
244.69,1,1,0.0
65.94,0,1,0.0
110.05,0,1,0.0
80.95,0,1,0.0
114.39,11,1,0.0
193.52,12,1,0.0
62.81,0,1,0.0
32.03,22,1,0.0
73.14,0,1,0.0
207.53,2,1,0.0
393.91,1,1,0.0
187.35,0,1,0.0
70.87,1,1,0.0
147.65,4,1,0.0
458.26,0,1,0.0
44.71,13,1,0.0
211.21,0,1,0.0
84.55,1,1,0.0
149.1,0,1,0.0
138.37,0,1,0.0
1874.29,0,1,0.0
155.67,1,1,0.0
191.55,21,1,0.0
182.18,1,1,0.0
81.55,5,1,0.0
292.54,41,1,0.0
24.74,3,1,0.0
192.31,12,1,0.0
58.94,0,1,0.0
133.87,1,1,0.0
120.76,2,1,0.0
152.1,1,1,0.0
7.92,0,1,0.0
130.76,2,1,0.0
199.32,0,1,0.0
131.14,3,1,0.0
194.87,1,1,0.0
470.77,6,1,0.0
98.44,3,1,0.0
91.27,3,1,0.0
